Key,Id,English (New Zealand)(en-NZ),English(en),Latvian(lv),Russian(ru)
congratulations,2.25327E+13,Congratulations!,Congratulations!,Apsveicu!,Поздравляем!
win_text,3.15726E+13,"Thank you, kind soul, for helping to find the spirit of Baron Rekis and freeing it from its centuries-long curse!","Thank you, kind soul, for helping to find the spirit of Baron Rekis and freeing it from its centuries-long curse!","Paldies Tev, laipnā dvēsele, ka palīdzēji atrast barona Reķa garu un atbrīvoji to! no gadsimtiem ilgā lāsta!","Спасибо тебе, добрая душа, за то, что помог найти дух барона Рекиса и освободить его от многовекового проклятия!"
"score
",4.52676E+13,Score: ,Score: ,Punkti: ,Счет: 
privacy_policy,6.30667E+13,I agree with the <u>Privacy Policy</u>,I agree with the <u>Privacy Policy</u>,Es piekrītu <u>Privātuma Politikai</u>,Я согласен с <u>Политикой Kонфиденциальности</u>
tutorial_heading_1,6.93337E+13,Locate the ghost!,Locate the ghost!,Atrodi spoku!,Найдите призрака!
tutorial_body_1,6.93905E+13,Explore the castle model and find where the ghost is hiding!,Explore the castle model and find where the ghost is hiding!,Izpēti pils modeli un atrodi kurā stāvā slēpjas spoks!,"Исследуй модель замка и найди, где прячется призрак!"
tutorial_heading_2,6.94407E+13,Capture the ghost!,Capture the ghost!,Notver spoku!,Поймай призрака!
tutorial_body_2,6.94827E+13,"Go to the ghost's location! Open the AR mode, find the ghost with your camera and click on it to capture it! ","Go to the ghost's location! Open the AR mode, find the ghost with your camera and click on it to capture it! ","Dodies uz spoka atrašanās vietu! Atver AR režīmu, atrodi spoku ar savu kameru un uzspied uz tā, lai notvertu!","Отправляйтесь в местонахождение призрака! Откройте режим дополненной реальности, найдите привидение с помощью камеры и нажмите на него, чтобы запечатлеть!"
"distance_to_ghost	",2.10023E+16,Distance to ghost: ,Distance to ghost: ,Attālums līdz spokam: ,Расстояние до призрака: 
Start,1.26034E+17,Start,Start,Sākt,старт
Next,1.26036E+17,Next,Next,Tālāk,дальше
Play,1.26036E+17,Play,Play,Spēlēt,играть
